RNA,ID,Length,total fragments,Avg lifetime,StdDev
rtn,1075,1557,5,4.130844,0.299620873
yejABEF,1076,5526,6,3.675025,0.166559155
yejG,1077,345,1,6.80668,0
bcr,1078,1191,3,4.578946667,0.492867718
rsuA,1079,696,2,4.00408,0.01645
yejH,1080,1761,5,3.531674,0.77369382
yejK,1082,1008,3,7.664163333,0.496897627
yejLM,1083,2008,6,4.084685,0.144722485
narP,1087,648,2,5.086315,0.103075
eco,1088,489,1,7.84183,0
yojI,1090,1644,5,5.911356,1.252276902
rcsC,1094,2802,6,4.504775,0.254510053
atoSC,1095,3209,6,4.541551667,0.730314145
gyrA,1097,2628,6,5.279973333,0.38305742
ubiG,1098,723,2,1.74315,1.74315
inaA,1100,651,2,4.864055,0.143965
glpTQ,1102,2440,6,5.566253333,0.963636064
yfaY,1105,1203,4,4.084005,0.739463049
yfaZ,1106,543,1,8.90505,0
nudI,1107,426,1,3.25825,0
ais,1108,603,2,3.899945,0.135405
elaB,1109,306,1,22.0946,0
elaA,1110,462,1,6.49516,0
rbn,1111,918,3,4.685056667,0.389222694
lrhA,1119,939,3,74.59534333,99.3942244
yfbS,1120,1833,6,4.573101667,0.468576556
yfbUT,1121,1156,3,6.837126667,0.150866952
yfbV,1122,456,1,4.02839,0
yfcD,1124,543,1,4.34883,0
yfcE,1125,555,1,4.41066,0
yfcF,1126,645,2,4.21933,0.00528
yfcG,1127,648,2,3.037305,0.144575
folX-yfcH,1128,1277,4,4.90715,0.364298418
accD,1130,915,3,5.81512,0.899409164
fabB,1131,1221,4,3.9649125,0.083558759
trmC,1132,2007,6,4.129813333,0.3252242
yfcN,1133,552,1,3.30332,0
sixA,1136,486,1,5.39013,0
fadIJ,1137,3455,6,3.07787,0.321613473
fadL,1139,1347,4,19.522075,2.781119548
mlaA,1141,756,2,4.596905,0.312835
yfdC,1142,933,3,2.815313333,0.476878133
dsdC,1148,936,3,4.592663333,0.268938494
alaC,1157,1239,4,4.9725325,0.321956095
ypdABC,1158,3317,6,4.255455,1.051569721
glk,1159,966,3,4.92981,0.294255414
yfeO,1160,1257,4,3.5556975,0.26745167
ypeC,1161,327,1,4.33213,0
mntH,1162,1239,4,2.83688,0.265606745
nupC,1163,1203,4,6.1627275,0.603790317
yfeA,1165,2190,6,5.060646667,0.437429308
yfeCD,1167,739,2,3.53842,0.13893
gltX,1168,1416,4,5.693805,0.343068862
valUXY-lysV,1169,398,1,8.46456,0
yfeR,1173,927,3,3.72653,0.307141213
zipA,1174,987,3,3.478356667,0.182087191
cysZ,1175,762,2,5.31787,0.0043
cysK,1176,972,3,9.704883333,0.043318837
pdxK,1177,852,2,4.29892,0.38867
yfeKS,1178,1142,3,5.61349,0.570998123
cysPUWAM,1179,4857,6,4.699386667,0.199588239
ucpA,1180,792,2,4.398495,0.267685
eutBCLKR,1182,4550,6,10.79434,1.119519528
maeB,1191,2280,6,3.091958333,0.33787456
nudK,1193,576,1,9.1357,0
aegA,1194,1980,6,5.160661667,0.640314442
narQ,1195,1701,5,3.982276,0.531223448
ypfH,1198,699,2,4.904175,0.149125
purC,1199,714,2,3.03453,3.03453
yfgO,1201,1062,3,5.018073333,0.206893511
yfgCD,1202,1844,6,4.832143333,0.493760452
hda,1203,702,2,3.22717,0.35273
purMN,1205,1676,5,5.197332,0.749267736
ppk-ppx,1206,3613,6,3.765456667,0.154988026
guaBA,1210,3113,6,4.79717,0.412073394
bamB-der,1211,2769,6,6.412476667,0.632494628
yfgM,1212,621,2,5.684095,0.027425
hisS,1213,1275,4,4.308685,0.240119499
ispG-sroE,1214,1210,4,4.23358,0.093510103
rlmN,1215,1155,3,5.58933,0.197830934
ndk,1216,432,1,3.68922,0
sseA,1217,846,2,8.742735,0.409245
pepB,1218,1284,4,7.0413875,0.27060882
trmJ,1219,741,2,3.25961,0.06678
suhB,1220,804,2,6.1657,1.93214
hcaR,1222,891,2,1.392465,1.392465
yphA,1224,495,1,5.2927,0
yphFED,1225,3541,6,8.96827,0.753887494
yphG,1226,3282,6,2.50231,1.158196398
yphH,1227,1194,3,4.431306667,0.297338093
glyA,1228,1254,4,4.669965,0.038976658
hmp,1229,1191,3,6.642823333,0.632294261
glrK,1230,1428,4,4.1111975,0.419866187
purL,1232,3888,6,5.383461667,0.834686123
yfhH,1233,849,2,3.26475,0.0465
shoB,1235,319,1,531.761,0
srmB,1237,1335,4,6.05801,0.299617203
yfiE,1238,882,2,4.76997,0.00258
yfiD,1240,384,1,7.29741,0
ung,1241,690,2,4.170645,0.139765
yfiF,1242,1038,3,6.717846667,0.901871673
trxC,1243,420,1,5.23417,0
yfiPQ,1244,3391,6,4.161928333,0.279803805
pssA,1245,1356,4,4.254315,0.212502319
rluD-yfiH,1246,1709,5,3.661744,0.320094648
bamD,1247,738,2,4.48253,0.06334
raiA,1248,342,1,15.9718,0
pheLA,1249,1307,4,4.66653,0.144069603
aroF-tyrA,1250,2203,6,5.251593333,0.17009043
yfiL,1251,366,1,2.96859,0
ffh,1252,1362,4,3.755185,0.192412368
ypjD,1253,867,2,3.7853,0.06553
yfjD,1254,1197,3,3.907886667,0.160448413
grpE,1255,594,1,6.7905,0
nadK,1256,879,2,3.731885,0.171375
recN,1257,1662,5,5.970422,0.690756424
smpA,1258,342,1,5.14502,0
ratAB,1259,757,2,3.457995,0.101275
smpB,1260,483,1,3.0821,0
ssrA,1261,363,1,75.3828,0
ygaU,1283,450,1,25.0027,0
ygaVP,1285,834,2,3.86052,0.05853
stpA,1286,405,1,3.48563,0
alaE,1287,450,1,3.82714,0
ygaC,1288,345,1,3.1555,0
ygaM,1289,342,1,15.0362,0
nrdHIEF,1290,3739,6,5.419893333,0.935885559
proVWX,1291,3310,6,5.282435,1.868139124
ygaXY,1292,1178,3,4.898483333,0.505239232
ygaZH,1293,1063,3,3.574286667,0.262747377
emrRAB,1294,3385,6,4.724763333,1.723618753
luxS,1295,516,1,41.9608,0
gshA,1297,1557,5,5.329164,1.713724759
yqaBA,1298,992,3,3.94783,0.118288056
alaS,1300,2631,6,4.055603333,0.052159614
ygaD,1301,498,1,0,0
mltB,1302,1086,3,4.5521,0.42318961
norR,1303,1515,5,4.326936,0.981958454
ascG,1306,1014,3,4.391826667,0.486883781
ygbA,1308,354,1,3.29614,0
mutS,1309,2562,6,4.941746667,0.403795685
ygbI,1311,798,2,3.927425,0.154045
ygbLM,1312,1420,4,8.4781325,1.002595981
ftsB,1314,312,1,6.36323,0
ygbE,1315,324,1,4.10412,0
queD,1318,366,1,4.47445,0
ygcF,1323,672,2,2.760205,0.140545
relA-mazEF,1325,2896,6,4.26415,0.303552618
rlmD,1326,1302,4,3.96671,0.301709067
barA,1327,2757,6,4.03865,0.47941881
csrB,1328,369,1,15.9916,0
syd,1329,546,1,3.30229,0
queF,1330,849,2,4.092835,0.173155
ygdH,1331,1365,4,3.570665,0.030122395
sdaCB,1332,2715,6,5.294113333,0.309430127
ygdG,1333,846,2,2.826315,2.826315
gcvA,1335,918,3,3.720683333,0.029149803
csdAE,1338,1649,5,4.030004,0.243567652
csdL,1339,807,2,5.193745,0.347135
mltA,1340,1098,3,4.435506667,0.465773079
amiC,1342,1254,4,4.204425,0.271428066
argA,1343,1332,4,4.83576,0.31881437
rppH-ptsP,1344,2790,6,3.667928333,0.203514301
mutH,1345,690,2,3.015455,0.419085
ygdQ,1346,714,2,5.959155,0.303075
tas,1348,1041,3,9.122923333,0.59739338
galR,1351,1032,3,3.68539,0.050037221
lysA,1352,1263,4,2.10719175,1.137498627
kduD,1354,762,2,13.39285,1.82475
kduI,1355,837,2,14.71975,3.41085
yqeF,1356,1182,3,4.46538,0.292934114
yqeG,1357,1230,4,3.7327525,2.242945063
ygeR,1371,756,2,4.01833,0.15251
xdhABC,1372,3624,6,5.458541667,0.948483307
ygeV,1373,1779,5,3.82121,0.25748314
ygeW,1374,1191,3,10.83708,1.709088493
ygeX,1375,1197,3,8.658526667,1.94655018
ygeY,1376,1212,4,10.701805,2.480969329
yqeA,1378,933,3,6.597846667,1.829381874
yqeB,1379,1626,5,7.795642,0.484597144
yqeC,1380,771,2,4.004285,4.004285
mocA,1381,579,1,3.44638,0
ygfK-ssnA,1382,4430,6,4.539873333,0.988176622
ygfM-xdhD,1383,3647,6,3.422786667,0.945379727
idi,1386,549,1,2.43124,0
xerD,1387,897,2,3.912945,0.221225
fldB,1388,522,1,4.35685,0
ygfYX,1389,655,2,4.29365,0.2419
ygfZ,1390,981,3,6.755576667,0.091943378
yqfA,1391,660,2,3.755195,0.039345
yqfB,1392,312,1,7.63138,0
bglA,1393,1440,4,9.62052,0.583964183
ygfF,1394,744,2,1.5676,1.5676
ygfB-pepP-ubiH-visC,1395,4330,6,4.114165,0.22804411
zapA,1396,330,1,4.46868,0
serA,1398,1233,4,4.4435075,0.69082161
rpiA,1399,660,2,8.22347,0.00472
argP,1401,894,2,3.851945,0.104965
yggE,1402,741,2,7.305405,0.058365
argO,1403,636,2,5.91571,0.24179
mscS,1404,861,2,8.23631,0.05221
tktA,1405,1992,6,6.079555,0.433588949
yggG,1406,759,2,4.9974,0.0474
metK,1408,1155,3,4.24104,0.213691051
galP,1409,1395,4,4.126475,0.141370147
yggI,1410,498,1,5.19647,0
rsmE-gshB,1412,1695,5,5.397084,0.447792459
yqgEF,1413,980,3,4.130793333,0.188955898
ansB,1416,1047,3,8.00309,0.44689039
yggN,1417,720,2,6.98479,0.08149
speC,1418,2136,6,3.589731667,1.747213001
yqgA,1419,708,2,4.51425,0.24387
glcC,1425,765,2,3.88126,0.12014
gss,1430,1860,6,3.949363333,0.293317756
yghU,1431,867,2,7.350225,0.061425
hybOABCDEFG,1432,6546,6,3.603341667,0.386016156
yghX_2X_1,1434,764,2,2.143005,0.096505
yghZ,1435,1041,3,7.08515,0.493530743
yqhA,1436,495,1,5.88807,0
yghA,1437,885,2,9.98841,0.24809
metC,1438,1188,3,4.725853333,0.567270606
yghB,1439,660,2,3.63063,0.05705
yqhC,1440,957,3,2.42686,0.512736461
yqhG,1441,927,3,3.348146667,1.698457155
ygiQ,1443,2220,6,3.03166,1.404787818
ftsP,1444,1413,4,4.6452625,0.28289464
plsC,1445,738,2,4.864475,0.121025
parC,1446,2259,6,4.878778333,1.301461683
ygiS,1447,1608,5,4.239192,0.401704777
ygiV,1448,483,1,3.66543,0
ygiW,1449,393,1,22.9565,0
qseBC,1450,2006,6,3.72322,0.300003791
mdaB,1452,582,1,4.64963,0
ygiN,1453,315,1,7.69958,0
nudF-yqiB-cpdA-yqiA-parE,1454,4407,6,4.233545,0.286519763
tolC-ygiABC,1455,3467,6,4.853265,0.371559983
ygiD,1456,816,2,7.578045,0.445985
zupT,1457,774,2,5.54261,0.19888
sroG-ribB,1458,906,3,5.447303333,0.477491347
rfaE,1466,1434,4,4.0966525,0.302414369
bacA,1467,822,2,5.163675,0.154885
folB,1468,369,1,4.63708,0
ygiH,1469,618,2,3.772545,0.205425
mug,1472,507,1,4.20184,0
yqjH,1474,765,2,9.571145,0.108365
yqjI,1475,624,2,3.47807,0.25556
aer,1476,1521,5,4.49257,0.387327366
ygjG,1477,1380,4,15.551075,0.277290149
ygjH,1478,333,1,4.83184,0
ebgR,1479,984,3,4.529966667,0.359233216
fadH,1483,2019,6,3.211761667,0.163229435
rlmG,1484,1137,3,6.063846667,1.073664993
ygjP,1485,504,1,3.42855,0
ygjR,1487,1005,3,4.284883333,0.348734831
alx,1488,966,3,5.52522,0.160701943
sstT,1489,1245,4,3.02484,1.761379713
uxaCA,1491,2915,6,5.28557,1.088180647
exuT,1492,1419,4,7.983455,1.118930877
exuR,1493,777,2,2.613205,0.035305
yqjA-mzrA,1494,1050,3,5.359096667,0.281609251
yqjCDEK,1495,1408,4,6.424045,2.058865913
yqjF,1496,393,1,7.27185,0
yqjG,1497,987,3,4.681926667,0.123746723
yhaH,1498,366,1,5.70389,0
yhaJ,1500,897,2,4.730335,0.186745
yhaKL,1501,889,2,4.594185,0.015355
garD,1505,1572,5,5.00873,0.697265483
sohA-yhaV,1506,800,2,3.7318,0.04503
agaR,1507,810,2,3.82696,0.16223
diaA,1512,591,1,4.3852,0
yraP,1513,576,1,5.57844,0
yraQ,1514,1041,3,6.983353333,1.395624463
yraR,1515,636,2,4.494745,0.081635
yhbW,1517,1008,3,7.354816667,0.24511546
mtr,1518,1245,4,2.944135,0.880182016
nlpI,1519,885,2,3.528335,0.690315
argG,1522,1344,4,6.09242,0.12106965
folP-glmM,1524,2179,6,3.876998333,1.834267478
greA,1526,477,1,7.5665,0
dacB,1527,1434,4,3.72162,0.27307815
yhbE-obgE,1528,2154,6,4.375905,2.126892761
ispB,1529,972,3,3.364346667,0.231200444
murA,1531,1260,4,3.700675,0.195938841
mlaFEDCB,1533,3103,6,4.850858333,0.070710415
nanR,1538,792,2,3.21354,0.10237
sspAB,1540,1142,3,6.260256667,0.262297175
yhcM,1541,1128,3,4.391356667,0.319185529
yhcB,1542,399,1,5.96568,0
degQS,1543,2525,6,6.008243333,0.699258814
mdh,1544,939,3,17.48466667,0.909163445
argR,1545,471,1,7.69782,0
aaeR,1548,930,3,4.010983333,0.502410913
tldD,1549,1446,4,4.6991925,0.415662638
yhdP,1550,3801,6,5.717076667,0.303504971
mreB,1551,1044,3,4.50888,0.154194683
csrD,1552,1941,6,3.835081667,0.573077238
yhdH,1553,975,3,13.16906667,0.956911261
accBC,1554,1831,6,3.80666,0.531113501
yhdT-panF-prmA,1555,2577,6,3.408216667,1.675279968
dusB-fis,1556,1288,4,5.1891325,3.264891218
yhdWXYZ,1562,4046,6,13.13721833,5.864006841
def-fmt,1563,1472,4,3.34504,0.26821152
rsmB,1564,1290,4,3.5370325,0.175777067
trkA,1565,1377,4,4.125645,0.144206793
rpsMKD-rpoA-rplQ,1566,2856,6,7.276648333,1.054168136
rplNXE-rpsNH-rplFR-rpsE-rpmD-rplO-secY-rpmJ,1567,5532,6,5.31104,0.201542464
rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ,1568,4957,6,11.78238333,0.432609572
fkpA,1572,813,2,5.10246,0.12921
slyD,1574,591,1,8.09411,0
yheSTU,1575,3148,6,4.395735,0.352293023
prkB,1576,870,2,4.787835,0.497055
yhfA,1577,405,1,4.40189,0
crp,1578,633,2,3.837885,0.081335
yhfK,1579,2103,6,3.971306667,0.484357059
argD,1580,1221,4,4.543175,0.340408413
ppiA,1581,573,1,4.34214,0
mrcA,1586,2553,6,4.746693333,0.576977987
nudE,1587,561,1,3.91935,0
yrfF,1588,2136,6,3.580538333,0.405643346
yhgE,1589,1725,5,3.714996,0.420447552
pck,1590,1623,5,7.464486,0.340490562
ompR-envZ,1591,2069,6,4.634248333,0.439848773
greB,1592,477,1,4.29529,0
yhgF,1593,2322,6,3.150528333,1.465969226
yhgA,1594,879,2,4.99281,0.33256
bioH,1595,771,2,4.232505,0.468265
gntT,1596,1317,4,4.9586025,0.486519783
malT,1597,2706,6,3.71748,0.114415843
glpD,1598,1506,5,2.81984,0.292930081
asd,1600,1104,3,5.738986667,0.161322508
yhgN,1601,594,1,4.93962,0
gntR,1602,996,3,3.10085,0.176795232
yhhW,1603,696,2,4.57458,0.01944
yhhX,1604,1038,3,5.324483333,0.083903218
yhhY,1606,489,1,3.25328,0
ggt,1609,1743,5,19.24508,2.508198818
yhhK,1611,384,1,3.67301,0
livJ,1612,1104,3,10.14432,3.068047258
rpoH,1613,855,2,4.33203,0.25569
rsmD-yhhL,1614,856,2,3.67456,0.18225
yhhM,1615,360,1,4.23362,0
yhhN,1616,627,2,3.591215,0.044565
zntA,1617,2199,6,2.885393333,0.397670422
yhhQ,1619,666,2,2.125885,2.125885
dcrB,1620,558,1,4.80505,0
yhhS,1621,1218,4,4.9143725,2.894758823
yhhT,1622,1050,3,2.44475,0.578810263
acpT,1623,588,1,3.99969,0
yhiN,1628,1203,4,3.9006275,0.558114817
pitA,1629,1500,5,5.14213,0.392300248
uspB,1630,336,1,1.97614,0
uspA,1631,435,1,7.74228,0
dtpB,1632,1470,4,3.779695,0.243283245
prlC-yhiQ,1633,2803,6,4.703898333,0.238055749
yhiR,1634,843,2,3.58291,0.06913
gor,1635,1353,4,9.297985,0.149488252
slp-dctR,1640,1253,4,2.4002525,0.737944745
hdeD,1641,573,1,4.51201,0
treF,1644,1650,5,3.53711,0.353315156
yhjB,1645,603,2,27.94495,3.15495
yhjC,1646,972,3,3.77728,0.924297244
yhjD,1647,1014,3,2.445636667,0.142757452
yhjE,1648,1323,4,6.2617825,1.529921829
yhjG,1649,2076,6,4.762306667,0.301503973
kdgK,1651,930,3,4.946033333,0.671462687
yhjJ,1652,1497,4,6.4100075,0.48184669
dctA,1653,1287,4,16.503975,1.153154399
yhjK,1654,1950,6,5.822721667,0.557651251
bcsQ,1655,729,2,5.31221,0.43544
bcsEFG,1657,3436,6,4.112675,0.270514734
dppABCDF,1661,5842,6,4.277058333,1.921883054
eptB,1663,1692,5,6.305408,0.605952902
yhjY,1665,699,2,2.374815,0.151595
yiaD,1666,660,2,5.31728,0.23414
ghrB,1667,975,3,5.10907,0.542194268
yiaF,1668,711,2,3.6221,0.05833
xylAB,1676,2849,6,9.435415,2.66567212
bax,1677,825,2,2.441074,2.045376
malS,1678,2031,6,4.93324,0.369385177
avtA,1679,1254,4,4.1332775,0.221317903
ysaA,1680,474,1,4.29709,0
yiaJ,1681,849,2,3.4816,0.33677
aldB,1684,1539,5,7.933378,0.459872514
yiaY,1685,1152,3,7.115776667,1.787002695
yibF,1686,609,2,4.194245,0.286065
yibIH,1689,1502,5,4.018498,1.200109727
mtlADR,1690,3879,6,5.460118333,0.224092231
yibL,1692,363,1,3.64882,0
lldPRD,1693,3619,6,8.925038333,1.741212997
trmL,1694,474,1,6.22817,0
cysE,1695,822,2,1.989975,1.989975
yibN,1697,432,1,5.09606,0
kbl-tdh,1698,2232,6,40.72156667,7.186738733
yicC,1702,864,2,4.97944,0.17386
gmk,1704,624,2,3.840725,0.226935
rpoZ-spoT-trmH-recG,1705,5186,6,3.761356667,1.054132903
gltS,1706,1206,4,2.97554,0.291508272
yicH,1708,1710,5,3.892016,0.316531115
yicL,1712,924,3,3.321166667,0.524670255
nlpA,1713,819,2,4.44787,0.15689
yicN,1716,453,1,3.84438,0
ade,1718,1767,5,4.223432,0.760284806
ivbL-ilvBN,1720,2187,6,5.228631667,2.357147438
emrD,1722,1185,3,6.065083333,0.796407463
yidI,1723,450,1,3.29203,0
yidQ,1725,333,1,4.58378,0
yidR,1726,1248,4,4.586715,0.366562314
yidA,1728,813,2,4.358655,0.041365
yidB,1729,399,1,4.48248,0
gyrB,1730,2415,6,4.625876667,0.196378196
rpmH-rnpA,1731,517,1,11.0787,0
mnmE,1732,1365,4,4.8877925,0.329902588
tnaCAB,1733,3049,6,4.392835,1.966669143
yieEF,1734,1350,4,6.30731,1.536467509
yieG,1735,1338,4,4.352415,2.520021522
yieH,1736,666,2,3.64728,0.15447
asnC,1738,459,1,2.373,0
asnA,1739,993,3,4.602066667,1.261100199
ravA-viaA,1740,2942,6,2.928278333,0.540554554
kup,1741,1869,6,4.334938333,0.555724454
hdfR,1745,840,2,4.98975,0.08049
yifE,1746,339,1,5.75237,0
yifB,1747,1551,5,4.549136,0.949156619
ilvY,1748,894,2,3.223925,0.354135
ilvC,1749,1476,4,5.3705625,0.345432071
yifNO,1751,449,1,6.80652,0
rep,1752,2022,6,4.639641667,0.351827002
gpp,1753,1485,4,3.725195,0.195327126
rhlB,1754,1266,4,3.400195,0.044861225
trxA,1755,330,1,6.3318,0
rhoL-rho,1756,1446,4,3.194015,0.208309383
rfe-wzzE-rffEDGHCA-wzxE-rffT-wzyE-rffM,1757,12781,6,4.369776667,0.271399484
yifK,1758,1386,4,6.6191625,0.439524256
argX-hisR-leuT-proM,1759,437,1,5.43463,0
hemCDXY,1763,4081,6,3.411676667,0.163576961
cyaA,1764,2547,6,2.788373333,0.188378525
yifL-dapF-yigA-xerC-yigB,1765,3378,6,3.832685,0.493272093
uvrD,1766,2163,6,6.217241667,0.501612587
corA,1768,951,3,4.517786667,0.255288558
rarD,1769,891,2,6.71658,0.65035
yigI,1770,468,1,3.84237,0
pldA,1771,870,2,3.89307,0.40977
recQ,1772,1830,6,4.481126667,0.646096508
rhtC,1773,621,2,5.078065,0.107285
rhtB,1774,621,2,4.27732,0.19148
pldB-yigL,1775,1831,6,3.807015,0.349125527
metE,1776,2262,6,6.454095,0.462723079
ysgA,1777,816,2,6.3893,0.26669
udp,1778,762,2,13.30225,0.31785
rmuC,1779,1428,4,4.462275,0.182486643
ubiE-yigP-ubiB,1780,3012,6,3.944001667,0.063703754
ubiD,1781,1494,4,4.2516475,0.224759223
fre,1782,702,2,4.339775,0.006755
fadBA,1783,3363,6,38.88683333,80.24539883
pepQ-yigZ-trkH-hemG,1784,3993,6,4.323931667,0.273980267
mobAB,1785,1094,3,3.61679,0.253526338
polA,1789,2787,6,4.260871667,0.283561518
yihA,1791,597,1,4.86824,0
yihI,1793,510,1,3.97663,0
hemN,1794,1374,4,4.2036725,0.270553955
glnA,1795,1410,4,4.48006,1.413928497
typA,1796,1824,6,5.305423333,0.341769966
yihXY-dtd-yiiD,1804,2886,6,4.74577,0.377454286
fdhD,1807,834,2,3.25181,0.2512
sodA,1810,621,2,9.06615,0.27072
kdgT,1811,984,3,5.91138,1.503349982
yiiM,1812,675,2,4.49423,0.22313
cpxP,1813,501,1,5.33237,0
fieF,1814,903,3,4.235053333,0.261492288
pfkA,1815,963,3,5.327013333,0.119859867
sbp,1816,990,3,7.387466667,0.700029732
cdh,1817,756,2,4.0943,0.01225
tpiA,1818,768,2,7.167905,0.098835
yiiQ,1819,600,2,3.83848,0.06984
yiiR,1820,441,1,5.50765,0
yiiS-uspD,1821,755,2,8.045575,0.182455
fpr,1822,747,2,4.80701,0.16589
hslVU,1824,1872,6,7.34515,1.269998353
cytR,1825,1026,3,3.942403333,0.007359299
priA,1826,2199,6,6.854515,1.256967366
metJ,1829,318,1,2.72933,0
metBL,1830,3596,6,5.161548333,0.698382429
metF,1831,891,2,2.67119,0.60874
katG,1832,2181,6,31.94261667,3.128670541
yijE,1833,906,3,5.869056667,1.512429943
pflDC,1836,3142,6,8.0338,0.869270678
yijP,1837,1734,5,3.119546,0.245746733
ppc,1838,2652,6,4.04034,0.327218916
argE,1839,1152,3,13.14236667,0.571180149
argCBH,1840,3223,6,3.948501667,0.701247107
fabR-yijD,1842,1064,3,3.67832,0.476689399
trmA,1843,1101,3,4.05849,0.454457547
murB-birA,1845,1991,6,4.20613,0.278466373
coaA,1846,951,3,3.62786,0.063531306
secE-nusG,1848,931,3,4.736693333,0.49465879
rpoBC,1849,8329,6,4.406406667,1.973617498
yjaZ,1850,540,1,4.83062,0
rsd,1853,477,1,9.65346,0
nudC-hemE-nfi,1854,2559,6,4.183925,0.317064925
yjaG,1855,591,1,4.37071,0
yjaH,1857,696,2,5.38393,1.44672
yjaB,1860,444,1,5.18161,0
metA,1861,930,3,3.41602,0.619169919
iclR,1862,825,2,4.60566,0.27113
metH,1863,3684,6,4.456151667,0.314223685
yjbB,1864,1632,5,3.771078,0.185826212
pepE,1865,690,2,1.51962,1.51962
rluF,1866,873,2,3.9324,0.11658
lysC,1868,1350,4,4.5488275,0.513896626
pgi,1869,1650,5,4.539326,0.341644115
psiE,1870,411,1,3.57694,0
malEFG,1872,3794,6,10.22911,3.793469376
malK-lamB-malM,1873,3691,6,11.25889833,7.007527439
ubiCA,1875,1383,4,4.44374,0.185695117
plsB,1876,2424,6,4.366413333,0.202221778
dgkA,1877,369,1,3.66982,0
zur,1880,516,1,2.28193,0
dusA,1882,1038,3,5.202673333,0.106593641
qor,1884,984,3,4.40272,0.248514462
dnaB,1885,1416,4,4.324155,0.117375631
alr,1886,1080,3,4.09031,0.374733894
tyrB,1887,1194,3,2.716853333,1.923902383
aphA,1888,714,2,3.94705,0.0275
yjbQR,1889,777,2,5.24148,0.1661
uvrA,1890,2823,6,4.319611667,0.50124379
ssb,1891,537,1,10.887,0
yjcC,1893,1587,5,2.729298,0.991106506
soxS,1894,324,1,5.66912,0
yjcE,1896,1650,5,3.989416,0.633300831
gltP,1899,1314,4,4.342415,0.334270217
yjcO,1900,690,2,3.59361,0.01524
fdhF,1901,2148,6,6.505115,3.058063562
yjdP,1904,330,1,5.86086,0
yjdN,1905,444,1,10.6591,0
yjdM,1906,336,1,9.44488,0
proP,1908,1503,5,3.06562,0.552273412
eptA,1909,1644,5,3.639514,0.127163792
adiA,1912,2268,6,7.186731667,1.751596013
melR,1913,909,3,4.275826667,0.323646127
melAB,1914,2880,6,6.518308333,0.471137509
yjdF,1915,630,2,1.994925,1.994925
yjdIJ,1916,515,1,4.06358,0
lysU,1918,1518,5,6.523922,0.131495249
cutA,1922,339,1,4.06435,0
aspA,1923,1437,4,4.888335,0.109438683
fxsA,1924,477,1,3.97023,0
yjeH,1925,1257,4,3.9829325,0.912055783
yjeI,1926,354,1,4.42605,0
yjeK,1928,1029,3,4.32696,0.310613199
efp,1929,567,1,5.1568,0
yjeA,1931,978,3,5.510866667,0.731128752
psd-yjeP,1934,4314,6,4.041225,0.811753863
rsgA,1935,1053,3,4.016526667,0.206264534
orn,1936,546,1,3.88217,0
purA,1939,1299,4,5.119605,0.283557834
aidB,1941,1626,5,3.596008,0.21517241
bsmA,1943,330,1,2.09256,0
rpsF-priB-rpsR-rplI,1947,1440,4,9.13682,1.236104182
fklB,1949,621,2,4.918335,0.432035
cycA,1950,1413,4,4.135465,0.118404002
ytfE,1951,663,2,7.124485,0.318835
ytfG,1953,861,2,8.1252,1.9674
ytfH,1954,381,1,3.11208,0
cpdB,1955,1944,6,14.1055,1.450622489
cysQ,1956,741,2,10.410245,0.601955
ytfJ,1958,555,1,5.53782,0
ytfL,1960,1344,4,3.49362,0.392924256
msrA,1961,639,2,8.308895,0.125605
ppA,1963,531,1,7.16552,0
ytfQRT-yjfF,1964,4617,6,10.790835,4.55051461
fbp,1965,999,3,4.53781,0.279814041
mpl,1966,1374,4,4.6275575,0.173417307
yjgA,1967,552,1,5.21103,0
pmbA,1968,1353,4,3.900295,0.165646089
cybC,1969,303,1,19.9984,0
treR,1971,948,3,1.834756667,0.217852039
mgtA,1972,2891,6,4.994916667,0.299354579
yjgF,1973,387,1,9.36355,0
yjgH,1975,396,1,4.92949,0
bdcA,1976,714,2,8.942225,2.626475
bdcR,1977,594,1,5.80506,0
tabA,1978,453,1,5.37061,0
argI,1980,1005,3,6.11905,0.480322631
yjgM,1981,504,1,1.78E-15,0
pepA,1983,1512,5,4.582392,0.145196631
lptFG,1984,2183,6,3.754551667,0.247580757
yjgR,1985,1503,5,4.63976,0.482412825
idnK,1986,564,1,2.83343,0
yjgB,1987,1020,3,4.17697,0.396584721
intB,1989,1191,3,3.769693333,1.28070204
insG,1993,1329,4,6.1373825,1.891446285
insO-2-yjhWV,1998,1176,3,4.702543333,0.640304231
fecIR,1999,1472,4,6.00627,1.228525222
yjhP,2002,747,2,8.00326,0.61986
yjhXQ,2003,815,2,7.2978,1.82151
gntP,2009,1344,4,5.3977,1.586704994
uxuAB,2010,2726,6,5.332228333,0.535158664
uxuR,2011,774,2,2.527195,0.473965
kptA,2013,555,1,3.07339,0
yjiJ,2014,1179,3,5.95933,1.442944003
mdtM-yjiN,2016,2554,6,4.761435,2.04419951
yjiPQ,2017,921,3,3.932863333,0.436884104
mrr,2022,915,3,4.083773333,0.086011621
tsr,2024,1656,5,4.733366,0.877789886
yjjM,2026,915,3,3.44705,0.594160464
mdoB,2028,2292,6,4.153495,0.248931378
yjjP,2029,771,2,5.446195,0.872165
fhuF,2031,789,2,4.68996,0.07259
rsmC,2033,1032,3,4.514343333,0.28907928
